x,y,z
64.87936401,3082.949219,357.2468262
54.87936783,3082.960449,357.6883545
44.87936783,3082.97168,358.1159973
34.87936783,3082.98291,358.5394897
24.87936783,3082.994141,358.9486389
14.87936687,3083.005127,359.3367004
4.87942791,3083.016357,359.7036743
-5.12057209,3083.027588,360.050415
-15.12057209,3083.038818,360.3917847
-25.12057114,3083.050049,360.7253418
-35.12057114,3083.061279,361.0323792
-45.12057114,3083.072266,361.3121033
-55.12057114,3083.083496,361.574585
-65.12054443,3083.094727,361.8363342
-75.12054443,3083.105957,362.0782166
-85.12054443,3083.117188,362.2901611
-95.12054443,3083.128418,362.472168
-105.1205444,3083.139648,362.6335144
-115.1205139,3083.150635,362.7937012
-125.1205139,3083.161865,362.9306641
-135.1205139,3083.173096,363.0320435
-145.1205139,3083.184326,363.0978394
-155.1205139,3083.195557,363.1280212
-165.1204834,3083.206787,363.1361084
-175.1204834,3083.217773,363.1438599
-185.1204834,3083.229004,363.1405945
-195.1204834,3083.240234,363.0985413
-205.1204834,3083.251465,363.0190125
-215.1204529,3083.262695,362.9306641
-225.1204529,3083.273926,362.8329773
-235.1204529,3083.285156,362.7229309
-245.1204529,3083.296143,362.6005249
-255.1204529,3083.307373,362.4657288
-265.1204224,3083.318604,362.3248901
-275.1204224,3083.329834,362.1851196
-285.1204224,3083.341064,362.046814
-295.1203918,3083.352295,361.9098816
-305.1203918,3083.363281,361.7740784
-315.1203918,3083.374512,361.6384277
-325.1203918,3083.385742,361.5034485
-335.1203918,3083.396973,361.3692017
-345.1203918,3083.408203,361.2356873
-355.1203918,3083.419434,361.1027527
-365.1203918,3083.43042,360.9691772
-375.1203613,3083.44165,360.8330383
-385.1203613,3083.452881,360.6942444
-395.1203308,3083.464111,360.5528259
-405.1203308,3083.475342,360.4089355
-415.1203308,3083.486572,360.2679749
-425.1203308,3083.497803,360.1342163
-435.1203308,3083.508789,360.0076294
-445.1203308,3083.52002,359.8882446
-455.1203308,3083.53125,359.7754211
-465.1203003,3083.54248,359.6573486
-475.1203003,3083.553711,359.526886
-485.1203003,3083.564941,359.3840637
-495.1203003,3083.575928,359.2288818
-505.1202698,3083.587158,359.0621643
-515.1203003,3083.598389,358.8929443
-525.1203003,3083.609619,358.7237549
-526.3636475,3083.611084,358.7027283
-536.3635864,3083.622314,358.5335083
-546.3635864,3083.633545,358.3643188
-556.3635864,3083.644775,358.1949463
-566.3635864,3083.655762,358.0213318
-576.3635864,3083.666992,357.8417969
-576.3744507,3083.666992,357.8415833
-586.3744507,3083.678223,357.6560974
-596.3744507,3083.689453,357.4646912
-606.3744507,3083.700439,357.2723083
-616.3744507,3083.71167,357.0829468
-626.3744507,3083.7229,356.8967285
-636.3744507,3083.734131,356.7135925
